5567	otitis	1	4
5783	weakness	1	5
5739	AIMs	1	5
5629	gargoylism	1	4
5657	dermatoses	1	6
5695	Sore_throat	1	4
5708	Epileptics	1	3
5690	extremity	1	1
5607	melanism	1	6
5525	SLE	1	6
5609	frambesia	1	6
5559	blackness	1	5
5597	morphea	1	0
5778	glossalgia	1	2
5558	infestations	1	5
5632	scleritis	1	4
5650	CNs	1	2
5718	vascular	1	0
5703	Erysipelas	1	4
5762	Nevus	1	6
5763	bruises	1	6
5747	Hydatidosis	1	5
5616	Parkinson's	1	2
5530	necrotizing_enterocolitis	1	4
5750	dengue	1	4
5758	regurgitation	1	0
5771	encephalon	1	2
5529	pulmonary_circulation	1	0
5681	Adenopathy	1	1
5576	OBJECTIVE	1	5
5753	cardiovascular_disease	1	0
5967	HEPARIN	1	0
5667	exanthema	1	6
5674	aldosteronism	1	1
5545	transition	1	5
5578	Angiomas	1	0
5775	LIT	1	1
5565	Acne	1	4
5584	skin_disorders	1	6
5721	Leukaemias	1	7
5659	articulators	1	3
5592	OHS	1	5
5585	SUM	1	3
5757	Furunculosis	1	6
5785	Hypotonia	1	5
5706	skin_cancers	1	7
5770	myoclonus_epilepsy	1	2
5513	Hips	1	1
5682	SARI	1	1
5756	tabes_dorsalis	1	4
5669	helminthiasis	1	1
5620	angiitis	1	0
5581	Carditis	1	4
5619	central_nervous_system	1	2
5610	hepatocellular_carcinoma	1	7
5600	Proctalgia	1	2
5698	attention	1	3
5571	Cushing's_Disease	1	1
5605	encephalomeningitis	1	4
5621	drowsiness	1	5
5599	hyperadrenocorticism	1	1
5687	Chest_pain	1	2
5705	metastasize	1	1
5701	OAF	1	3
5541	Myocardial_infarctions	1	0
5686	psychotic	1	3
5591	portal_vein	1	0
5602	Von_Recklinghausen's_disease	1	6
5656	Atopic_eczema	1	4
5673	neurons	1	5
5732	Guillain-Barre_Syndrome	1	4
5696	strain	1	1
5735	lymphoma	1	7
5556	Lymphangioma	1	0
5577	Cardiac_arrhythmias	1	0
5526	tubules	1	1
5631	thalassemias	1	4
5737	Left-handers	1	3
5734	blood_flukes	1	0
5649	clubbing	1	0
5630	ataxia	1	2
5575	Guillain-Barre_syndrome	1	4
5968	tumor_suppressor_genes	1	5
5537	Transition	1	5
5751	inflammatory_diseases	1	4
5664	CHOICE	1	3
5618	generalized_epilepsy	1	2
5688	Seminomas	1	7
5670	Pneumocystis_pneumonia	1	4
5740	breasts	1	1
5684	hypertrophic_cardiomyopathies	1	0
5765	Hypothermia	1	1
5995	arteriosclerosis_obliterans	1	0
5969	hemiplegic	1	3
5784	HEPATOCELLULAR_CARCINOMA	1	7
5651	vena_cava	1	0
5973	Bursitis	1	4
5689	Cerebral_Aneurysms	1	4
5550	malformation	1	1
5560	GIT	1	3
5624	heart_disease	1	0
5715	Adrenocortical	1	1
5745	Inflammatory_Bowel_Diseases	1	4
5639	acute_leukemia	1	7
5679	Helminthiasis	1	1
5510	rheumatic_fever	1	4
5643	Meiosis	1	5
5557	Infestation	1	5
5685	writers	1	3
5713	brain_diseases	1	2
5542	lethargy	1	5
5548	Infectious_Diseases	1	3
5646	Lassa_fever	1	4
5521	Bronchiolitis	1	4
5522	acanthosis_nigricans	1	6
5699	Rheumatic_heart_disease	1	0
5711	Cushing's_disease	1	1
5642	CHAP	1	3
5580	Brain_Disease	1	2
5672	Lung_cancer	1	7
5635	glossodynia	1	2
5654	CHRISTIAN	1	3
5693	COLD	1	3
5523	cardiovascular	1	0
5787	proctalgia	1	2
5976	Gastroenteritis	1	4
5760	embryonal_carcinoma	1	7
5700	CHAp	1	3
5563	Mitral_Stenosis	1	0
5531	excitation	1	5
5668	athlete	1	3
5640	Strain	1	1
5716	Iritis	1	4
5551	ADENOCARCINOMA	1	7
5626	Hepatoma	1	7
5587	Pyelitis	1	4
5720	Severe_combined_immunodeficiency	1	6
5547	Valvular_heart_disease	1	0
5691	small_cell_carcinomas	1	7
5776	VT	1	5
5746	hyperpigmentation	1	6
5714	dependences	1	5
5527	communicable_disease	1	3
5677	dermatosis	1	6
5754	hydatid_disease	1	5
5509	acute_leukemias	1	7
5782	insanity	1	2
5637	flexures	1	5
5774	Amyotrophic_Lateral_Sclerosis	1	2
5780	Rheumatic_Heart_Disease	1	0
5977	hip	1	1
5574	angiopathies	1	0
5613	colic	1	2
5781	Myocardial_infarcts	1	0
5524	Temporal_arteritis	1	4
5627	mitral_valve_stenosis	1	0
5766	neurosyphilis	1	2
5661	cephalic_vein	1	0
5709	epileptics	1	3
5569	Prostate_Cancer	1	7
5644	Atopic_Dermatitis	1	4
5514	HEALING	1	1
5515	esophagitis	1	4
5665	left_coronary_artery	1	0
5615	Erythroderma	1	6
5764	Trematodes	1	1
5980	magnetic_field	1	1
5978	endometrial_cancers	1	7
5622	Breast_cancers	1	7
5742	lung_cancers	1	7
5561	Somnolence	1	5
5579	Petechiae	1	0
5761	premature_labour	1	5
5568	neuroscience	1	2
5994	pneumocystis_pneumonia	1	4
5671	Vesicular_stomatitis	1	4
5634	NHS	1	5
5518	Tay-Sachs	1	2
5553	Oesophagitis	1	4
5692	SEMINOMA	1	7
5738	neuromas	1	2
5641	kidney_disease	1	6
5730	Skin_disorders	1	6
5512	gastroenteritis	1	4
5614	psoriasis	1	6
3814	disruptive	1	2
5981	bitterness	1	3
5752	Glossitis	1	4
5680	chronic_bronchitis	1	4
5731	brain	1	2
5678	PKD	1	4
5717	Ataxia	1	2
5743	athlete's_heart	1	0
5645	ADRENOCORTICAL	1	1
5662	Adenocarcinoma	1	7
5596	Heart_diseases	1	0
5966	Prematurity	1	5
5554	Echinococcosis	1	5
5993	decubitus	1	1
